,병원명,병원코드,응급실수,수술실수,응급실연락처,병원주소,위도,경도,뇌출혈,신생아,중증화상,뇌경색,심근경색,복부손상,사지접합,응급내시경,응급투석,조산산모
13,의료법인인당의료재단부민병원,A1200006,8,8,051-330-3129,부산광역시 북구 만덕대로 59 (덕천동),35.21191431805676,129.0112123286087,Y,N,N,Y,N,Y,Y,Y,Y,N
14,의료법인은성의료재단좋은삼선병원,A1200005,13,5,051-310-9416,부산광역시 사상구 가야대로 326 (주례동),35.1505677387241,129.0081978825217,Y,N,N,Y,Y,Y,Y,Y,Y,N
15,한국보훈복지의료공단부산보훈병원,A1200016,8,5,051-601-6180,부산광역시 사상구 백양대로 420 (주례동),35.15333436517864,129.00656514354415,N,N,N,N,N,N,N,N,N,N
16,고신대학교복음병원,A1200004,5,11,051-990-3008,부산광역시 서구 감천로 262 (암남동),35.08029169184386,129.01572016067405,N,N,N,N,N,N,N,N,N,N
17,부산대학교병원,A1200002,-5,17,051-240-7776,부산광역시 서구 구덕로 179 (아미동1가),35.10105418267188,129.01922207984205,Y,Y,N,Y,Y,Y,Y,Y,Y,Y
18,동아대학교병원,A1200003,9,12,051-240-5300,부산광역시 서구 대신공원로 26 (동대신동3가),35.12000583968841,129.01760368790895,Y,Y,N,Y,N,Y,N,Y,N,Y
19,삼육부산병원,A1200021,5,1,051-600-7750,부산광역시 서구 대티로 170 (서대신동2가),35.11177720675051,129.01074979097717,N,N,N,Y,N,N,Y,N,N,N
20,의료법인은성의료재단좋은강안병원,A1200008,10,8,051-610-9119,부산광역시 수영구 수영로 493 (남천동),35.15015905669445,129.11072434834875,Y,N,N,Y,Y,Y,N,Y,Y,N
21,비에이치에스한서병원,A1200007,12,3,070-7321-0119,부산광역시 수영구 수영로 615 (광안동),35.1610460623,129.1128811328,Y,N,N,N,Y,N,N,N,N,N
22,부산광역시의료원,A1200024,12,6,051-607-2140,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",35.187312651309654,129.05917919433944,Y,N,N,Y,Y,N,N,Y,N,N
23,의료법인행도의료재단해동병원,A1200012,6,3,051-410-6688,부산광역시 영도구 태종로 133 (봉래동3가),35.09194298219175,129.04386428258525,Y,N,N,N,N,Y,N,Y,Y,N
24,영도병원,A1200014,7,1,051-419-7575,부산광역시 영도구 태종로 85 (대교동2가),35.09227119620571,129.04053714557975,Y,N,Y,N,N,Y,N,Y,Y,N
25,재단법인천주교부산교구유지재단메리놀병원,A1200023,7,4,051-461-2300,부산광역시 중구 중구로 121 (대청동4가),35.107580971280804,129.03246380102908,N,N,N,N,N,N,N,N,N,N
26,의료법인인당의료재단해운대부민병원,A1205143,8,1,051-602-8119,부산광역시 해운대구 해운대로 584 (우동),35.16142040775608,129.1556561002225,Y,N,N,Y,N,Y,Y,Y,N,N
27,인제대학교해운대백병원,A1200022,-4,8,051-797-0119,부산광역시 해운대구 해운대로 875 (좌동),35.17334313589264,129.182181239924,Y,Y,N,Y,Y,Y,N,Y,Y,Y
